class,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.9649122807017544,1.0,0.9821428571428571,55.0
Tomato___Early_blight,0.9574468085106383,0.9375,0.9473684210526315,48.0
Tomato___Late_blight,0.9130434782608695,0.9767441860465116,0.9438202247191011,43.0
Tomato___Leaf_Mold,0.9814814814814815,0.9636363636363636,0.9724770642201835,55.0
Tomato___Septoria_leaf_spot,0.9761904761904762,0.8913043478260869,0.9318181818181818,46.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9433962264150944,1.0,0.970873786407767,50.0
Tomato___Target_Spot,0.9591836734693877,0.94,0.9494949494949495,50.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9795918367346939,0.96,0.9696969696969697,50.0
Tomato___Tomato_mosaic_virus,0.9827586206896551,0.9827586206896551,0.9827586206896551,58.0
Tomato___healthy,1.0,1.0,1.0,45.0
macro avg,0.9658004882454051,0.9651943518198618,0.9650451075242297,500.0
weighted avg,0.9665666440590533,0.966,0.9658579423840712,500.0
