class,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.9454545454545454,0.9454545454545454,0.9454545454545454,55.0
Tomato___Early_blight,0.8809523809523809,0.7708333333333334,0.8222222222222222,48.0
Tomato___Late_blight,0.7592592592592593,0.9534883720930233,0.845360824742268,43.0
Tomato___Leaf_Mold,0.9622641509433962,0.9272727272727272,0.9444444444444444,55.0
Tomato___Septoria_leaf_spot,0.9743589743589743,0.8260869565217391,0.8941176470588236,46.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9607843137254902,0.98,0.9702970297029703,50.0
Tomato___Target_Spot,0.9375,0.9,0.9183673469387755,50.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.8928571428571429,1.0,0.9433962264150944,50.0
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,58.0
Tomato___healthy,1.0,0.9777777777777777,0.9887640449438202,45.0
macro avg,0.931343076755119,0.9280913712453145,0.9272424331922965,500.0
weighted avg,0.9344719527707873,0.93,0.9299769010300968,500.0
