class,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.9322033898305084,1.0,0.9649122807017544,55.0
Tomato___Early_blight,0.7692307692307693,0.8333333333333334,0.8,48.0
Tomato___Late_blight,0.8536585365853658,0.813953488372093,0.8333333333333334,43.0
Tomato___Leaf_Mold,0.8518518518518519,0.8363636363636363,0.8440366972477065,55.0
Tomato___Septoria_leaf_spot,0.8863636363636364,0.8478260869565217,0.8666666666666667,46.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9375,0.9,0.9183673469387755,50.0
Tomato___Target_Spot,0.8367346938775511,0.82,0.8282828282828283,50.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.94,0.94,0.94,50.0
Tomato___Tomato_mosaic_virus,0.9016393442622951,0.9482758620689655,0.9243697478991597,58.0
Tomato___healthy,1.0,0.9333333333333333,0.9655172413793104,45.0
macro avg,0.8909182222001977,0.8873085740427882,0.8885486142449535,500.0
weighted avg,0.8910659524451908,0.89,0.8899728475770415,500.0
