class,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.9821428571428571,1.0,0.990990990990991,55.0
Tomato___Early_blight,0.8490566037735849,0.9375,0.8910891089108911,48.0
Tomato___Late_blight,0.9761904761904762,0.9534883720930233,0.9647058823529412,43.0
Tomato___Leaf_Mold,0.9285714285714286,0.9454545454545454,0.9369369369369369,55.0
Tomato___Septoria_leaf_spot,0.9333333333333333,0.9130434782608695,0.9230769230769231,46.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9591836734693877,0.94,0.9494949494949495,50.0
Tomato___Target_Spot,0.92,0.92,0.92,50.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.98,0.98989898989899,50.0
Tomato___Tomato_mosaic_virus,1.0,0.9482758620689655,0.9734513274336283,58.0
Tomato___healthy,1.0,1.0,1.0,45.0
macro avg,0.9548478372481067,0.9537762257877404,0.9539645109096251,500.0
weighted avg,0.955425420356822,0.954,0.9543641572546423,500.0
