class,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.9821428571428571,1.0,0.990990990990991,55.0
Tomato___Early_blight,0.8653846153846154,0.9375,0.9,48.0
Tomato___Late_blight,1.0,0.9767441860465116,0.9882352941176471,43.0
Tomato___Leaf_Mold,0.9298245614035088,0.9636363636363636,0.9464285714285714,55.0
Tomato___Septoria_leaf_spot,0.9318181818181818,0.8913043478260869,0.9111111111111111,46.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9411764705882353,0.96,0.9504950495049505,50.0
Tomato___Target_Spot,0.9583333333333334,0.92,0.9387755102040817,50.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.98,0.98,0.98,50.0
Tomato___Tomato_mosaic_virus,1.0,0.9482758620689655,0.9734513274336283,58.0
Tomato___healthy,1.0,1.0,1.0,45.0
macro avg,0.9588680019670732,0.9577460759577928,0.957948785479098,500.0
weighted avg,0.959071592236453,0.958,0.9581740193356958,500.0
